question,answer,option,gt_option
Sandra travelled to the garden. Daniel went to the office. Mary went to the office. Mary went back to the bathroom. Mary discarded the apple. Where was the apple before the bathroom?,office,a)garden b)kitchen c)bathroom d)hallway,e
John got the apple. Sandra moved to the bedroom. Daniel grabbed the milk. Daniel journeyed to the office. Daniel went back to the hallway. Where was the milk before the hallway?,office,a)office b)hallway c)bathroom d)kitchen,a
Daniel travelled to the office. Daniel went back to the bathroom. Sandra grabbed the football. Sandra moved to the hallway. Sandra travelled to the garden. Where was the football before the garden?,hallway,a)office b)bathroom c)kitchen d)hallway,d
Mary got the football. Mary travelled to the kitchen. John went to the garden. Mary journeyed to the bedroom. Mary left the football there. Where was the football before the bedroom?,kitchen,a)bathroom b)bedroom c)hallway d)office,e
Sandra went back to the kitchen. John dropped the apple. Mary travelled to the bedroom. Mary went back to the office. Mary put down the milk. Where was the milk before the office?,bedroom,a)bedroom b)office c)hallway d)kitchen,a
Mary went back to the hallway. Mary moved to the bedroom. Mary travelled to the bathroom. Mary moved to the hallway. Mary discarded the football. Where was the football before the hallway?,bathroom,a)office b)bathroom c)hallway d)kitchen,b
Mary travelled to the garden. Daniel took the football. Daniel journeyed to the hallway. John went to the bathroom. Daniel travelled to the bathroom. Where was the football before the bathroom?,hallway,a)office b)bathroom c)hallway d)kitchen,c
Mary journeyed to the hallway. Mary got the milk. John went to the kitchen. John went to the office. John dropped the milk. Where was the milk before the office?,kitchen,a)office b)kitchen c)hallway d)bedroom,b
Mary moved to the bathroom. Sandra dropped the football. John moved to the kitchen. John went to the bathroom. John put down the milk. Where was the milk before the bathroom?,kitchen,a)office b)kitchen c)hallway d)bedroom,b
Daniel took the football. Daniel discarded the milk. John went back to the office. John travelled to the garden. John put down the milk. Where was the milk before the garden?,office,a)hallway b)bathroom c)kitchen d)office,d
Mary left the football. John travelled to the office. Mary moved to the bedroom. Mary travelled to the bathroom. Mary left the football. Where was the football before the bathroom?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
Mary discarded the football. Sandra grabbed the milk. Sandra went to the bathroom. Sandra went to the hallway. Sandra left the milk there. Where was the milk before the hallway?,bathroom,a)garden b)kitchen c)hallway d)office,e
Sandra went back to the office. Mary left the football there. John travelled to the bathroom. John went back to the bedroom. John left the milk. Where was the milk before the bedroom?,bathroom,a)office b)hallway c)kitchen d)bathroom,d
Daniel went to the garden. Mary went back to the garden. Mary got the football. Mary travelled to the garden. Mary went to the bedroom. Where was the football before the bedroom?,garden,a)garden b)office c)hallway d)kitchen,a
John went back to the hallway. Daniel dropped the apple. Sandra went to the kitchen. Sandra travelled to the garden. Sandra put down the football. Where was the football before the garden?,kitchen,a)bathroom b)bedroom c)hallway d)office,e
Daniel journeyed to the garden. John got the milk. Mary journeyed to the garden. Mary travelled to the bathroom. Mary dropped the football. Where was the football before the bathroom?,garden,a)office b)garden c)hallway d)kitchen,b
Mary journeyed to the garden. Daniel grabbed the apple. Mary travelled to the kitchen. Mary went back to the hallway. Mary discarded the football there. Where was the football before the hallway?,kitchen,a)office b)hallway c)bedroom d)kitchen,d
Sandra travelled to the kitchen. John went to the bedroom. John travelled to the bathroom. John journeyed to the hallway. John discarded the football. Where was the football before the hallway?,bathroom,a)office b)hallway c)kitchen d)bathroom,d
Sandra went back to the kitchen. Daniel journeyed to the bathroom. John travelled to the bathroom. John moved to the kitchen. John put down the milk. Where was the milk before the kitchen?,bathroom,a)office b)hallway c)bathroom d)kitchen,c
Mary went back to the kitchen. John went to the bedroom. John went to the bathroom. John went back to the hallway. John put down the football there. Where was the football before the hallway?,bathroom,a)garden b)kitchen c)hallway d)office,e
Mary journeyed to the garden. John moved to the hallway. Daniel moved to the garden. Daniel moved to the kitchen. Daniel left the football there. Where was the football before the kitchen?,garden,a)office b)garden c)hallway d)kitchen,b
Daniel took the football there. Daniel dropped the football. John journeyed to the bedroom. John travelled to the kitchen. John dropped the apple. Where was the apple before the kitchen?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
John grabbed the apple. Daniel grabbed the apple. John went to the kitchen. John went back to the garden. John discarded the apple. Where was the apple before the garden?,kitchen,a)office b)hallway c)kitchen d)bedroom,c
Daniel journeyed to the bedroom. Mary got the milk there. Sandra moved to the bedroom. Sandra went back to the office. Sandra left the milk. Where was the milk before the office?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
Daniel dropped the apple there. Daniel went back to the bathroom. Daniel got the apple. Daniel went back to the kitchen. Daniel moved to the bathroom. Where was the apple before the bathroom?,kitchen,a)bathroom b)bedroom c)hallway d)office,e
John discarded the milk. Mary travelled to the bedroom. Sandra picked up the football there. Sandra journeyed to the bedroom. Sandra went to the bathroom. Where was the football before the bathroom?,bedroom,a)office b)hallway c)bedroom d)kitchen,c
Mary went back to the office. Mary went to the hallway. John journeyed to the office. John went to the bedroom. John put down the apple there. Where was the apple before the bedroom?,office,a)hallway b)bathroom c)kitchen d)office,d
Mary travelled to the bedroom. Daniel picked up the football there. Sandra travelled to the bathroom. Sandra moved to the hallway. Sandra left the milk there. Where was the milk before the hallway?,bathroom,a)office b)bathroom c)hallway d)kitchen,b
Daniel travelled to the bathroom. Mary journeyed to the bedroom. John picked up the football. John moved to the bedroom. John travelled to the hallway. Where was the football before the hallway?,bedroom,a)office b)bedroom c)hallway d)kitchen,b
Mary picked up the football. Sandra journeyed to the kitchen. Daniel journeyed to the hallway. Daniel journeyed to the bathroom. Daniel put down the apple. Where was the apple before the bathroom?,hallway,a)hallway b)office c)bathroom d)kitchen,a
John picked up the apple. John went to the bedroom. Daniel travelled to the hallway. Daniel travelled to the bathroom. Daniel dropped the football. Where was the football before the bathroom?,hallway,a)office b)hallway c)bathroom d)kitchen,b
Sandra went to the garden. John went to the garden. Mary travelled to the garden. Mary went back to the hallway. Mary put down the football. Where was the football before the hallway?,garden,a)office b)garden c)hallway d)kitchen,b
Daniel put down the apple. John picked up the milk there. Sandra travelled to the kitchen. Sandra moved to the garden. Sandra put down the apple. Where was the apple before the garden?,kitchen,a)office b)kitchen c)hallway d)bedroom,b
Daniel journeyed to the kitchen. Daniel left the apple. Sandra went back to the garden. Sandra travelled to the bathroom. Sandra discarded the apple. Where was the apple before the bathroom?,garden,a)office b)garden c)hallway d)kitchen,b
Sandra went back to the bathroom. Sandra moved to the bathroom. Sandra grabbed the football. Sandra went to the garden. Sandra went back to the bathroom. Where was the football before the bathroom?,garden,a)garden b)office c)hallway d)kitchen,a
Sandra grabbed the milk. Sandra discarded the milk. John travelled to the garden. John travelled to the kitchen. John put down the apple. Where was the apple before the kitchen?,garden,a)office b)hallway c)kitchen d)garden,d
Mary moved to the hallway. John took the milk. Mary journeyed to the kitchen. Mary moved to the garden. Mary discarded the milk. Where was the milk before the garden?,kitchen,a)office b)kitchen c)hallway d)bedroom,b
Mary dropped the milk. Mary picked up the milk. Mary went to the bathroom. Mary went back to the hallway. Mary put down the apple. Where was the apple before the hallway?,bathroom,a)office b)hallway c)bathroom d)kitchen,c
Daniel left the football. Daniel went to the hallway. Mary moved to the bathroom. Mary went back to the garden. Mary discarded the football. Where was the football before the garden?,bathroom,a)office b)hallway c)bathroom d)kitchen,c
John picked up the apple. John went to the bedroom. Daniel travelled to the hallway. Daniel travelled to the bathroom. Daniel dropped the football. Where was the football before the bathroom?,hallway,a)hallway b)office c)bathroom d)kitchen,a
John travelled to the office. Sandra travelled to the bedroom. Sandra went back to the garden. Sandra went to the kitchen. Sandra put down the football there. Where was the football before the kitchen?,garden,a)office b)garden c)hallway d)kitchen,b
Mary journeyed to the garden. John moved to the hallway. Daniel moved to the office. Daniel moved to the garden. Daniel left the football there. Where was the football before the garden?,office,a)hallway b)bathroom c)kitchen d)office,d
Mary discarded the milk. John moved to the kitchen. John journeyed to the garden. John journeyed to the hallway. John discarded the milk there. Where was the milk before the hallway?,garden,a)office b)hallway c)garden d)kitchen,c
Sandra travelled to the office. Mary journeyed to the office. John journeyed to the bathroom. John moved to the garden. John left the football. Where was the football before the garden?,bathroom,a)garden b)kitchen c)hallway d)office,e
Sandra went back to the hallway. Sandra picked up the milk there. Sandra went back to the garden. Sandra journeyed to the office. Sandra dropped the milk. Where was the milk before the office?,garden,a)office b)hallway c)garden d)kitchen,c
Mary journeyed to the kitchen. John discarded the milk. Mary went back to the garden. Mary went back to the bedroom. Mary dropped the milk. Where was the milk before the bedroom?,garden,a)office b)garden c)hallway d)kitchen,b
Daniel took the football. Sandra journeyed to the kitchen. John went back to the bedroom. John went back to the hallway. John dropped the football. Where was the football before the hallway?,bedroom,a)bedroom b)office c)hallway d)kitchen,a
John left the apple. Sandra journeyed to the kitchen. John went back to the bathroom. John travelled to the garden. John dropped the football. Where was the football before the garden?,bathroom,a)garden b)kitchen c)hallway d)office,e
John left the football. Sandra grabbed the apple. Mary travelled to the hallway. Mary went back to the bedroom. Mary dropped the milk. Where was the milk before the bedroom?,hallway,a)office b)bathroom c)kitchen d)hallway,d
Mary moved to the bathroom. Sandra dropped the football. John moved to the kitchen. John went to the bathroom. John put down the milk. Where was the milk before the bathroom?,kitchen,a)office b)hallway c)bedroom d)kitchen,d
Sandra went to the garden. Mary discarded the football. John went back to the bedroom. John journeyed to the bathroom. John discarded the apple. Where was the apple before the bathroom?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
Daniel went back to the bedroom. Mary moved to the kitchen. Sandra went to the office. Sandra went to the kitchen. Sandra left the football. Where was the football before the kitchen?,office,a)hallway b)bathroom c)kitchen d)office,d
Sandra went to the office. Mary went to the bedroom. Mary travelled to the kitchen. Mary went back to the garden. Mary dropped the milk. Where was the milk before the garden?,kitchen,a)office b)hallway c)bedroom d)kitchen,d
Mary went to the garden. John put down the football. Daniel went back to the kitchen. Daniel journeyed to the garden. Daniel discarded the milk. Where was the milk before the garden?,kitchen,a)kitchen b)office c)hallway d)bedroom,a
Sandra travelled to the office. Mary journeyed to the office. John went back to the garden. John travelled to the office. John put down the apple. Where was the apple before the office?,garden,a)office b)hallway c)kitchen d)garden,d
Mary went back to the office. John went back to the hallway. Sandra travelled to the bathroom. Sandra travelled to the office. Sandra put down the apple there. Where was the apple before the office?,bathroom,a)office b)hallway c)kitchen d)bathroom,d
Mary put down the apple. Sandra picked up the apple there. John journeyed to the bathroom. John moved to the bedroom. John left the milk. Where was the milk before the bedroom?,bathroom,a)garden b)kitchen c)hallway d)office,e
Mary went to the bathroom. John moved to the bedroom. Mary went to the kitchen. Mary journeyed to the garden. Mary put down the milk there. Where was the milk before the garden?,kitchen,a)kitchen b)office c)hallway d)bedroom,a
Daniel went to the kitchen. John moved to the garden. Daniel travelled to the garden. Daniel went back to the hallway. Daniel left the football there. Where was the football before the hallway?,garden,a)office b)garden c)hallway d)kitchen,b
Sandra picked up the milk. John grabbed the milk. Mary travelled to the office. Mary went to the hallway. Mary dropped the football. Where was the football before the hallway?,office,a)office b)hallway c)bathroom d)kitchen,a
Daniel moved to the bedroom. Sandra went to the office. Daniel moved to the office. Daniel journeyed to the bathroom. Daniel put down the apple. Where was the apple before the bathroom?,office,a)garden b)kitchen c)bathroom d)hallway,e
Daniel moved to the office. Daniel moved to the garden. Daniel picked up the football. Daniel went back to the hallway. Daniel journeyed to the bedroom. Where was the football before the bedroom?,hallway,a)office b)hallway c)bathroom d)kitchen,b
Daniel went back to the hallway. John grabbed the apple. Mary went back to the garden. Mary went to the hallway. Mary left the milk. Where was the milk before the hallway?,garden,a)office b)hallway c)kitchen d)garden,d
Daniel left the football. Daniel went to the hallway. Mary moved to the bathroom. Mary went back to the garden. Mary discarded the football. Where was the football before the garden?,bathroom,a)office b)bathroom c)hallway d)kitchen,b
Daniel moved to the bedroom. John went back to the bedroom. John went to the garden. Mary moved to the office. John dropped the apple. Where was the apple before the garden?,bedroom,a)kitchen b)hallway c)garden d)bathroom,e
Mary got the football. Mary travelled to the kitchen. John went to the garden. Mary journeyed to the bedroom. Mary left the football there. Where was the football before the bedroom?,kitchen,a)bathroom b)bedroom c)hallway d)office,e
John went to the bathroom. Mary travelled to the kitchen. Mary picked up the apple. Mary went back to the hallway. Mary moved to the bedroom. Where was the apple before the bedroom?,hallway,a)hallway b)office c)bathroom d)kitchen,a
Sandra put down the milk. Daniel went to the hallway. Sandra went back to the bedroom. Sandra journeyed to the garden. Sandra put down the milk. Where was the milk before the garden?,bedroom,a)office b)hallway c)bedroom d)kitchen,c
John went back to the hallway. Sandra went back to the office. Sandra travelled to the hallway. Sandra went to the office. Sandra left the apple. Where was the apple before the office?,hallway,a)hallway b)office c)bathroom d)kitchen,a
Daniel picked up the football there. Daniel picked up the milk. Daniel travelled to the hallway. Daniel journeyed to the garden. Daniel left the football. Where was the football before the garden?,hallway,a)hallway b)office c)bathroom d)kitchen,a
Sandra journeyed to the garden. John journeyed to the hallway. Sandra went to the bathroom. Sandra went back to the office. Sandra put down the milk. Where was the milk before the office?,bathroom,a)bathroom b)office c)hallway d)kitchen,a
John moved to the garden. Sandra journeyed to the hallway. Daniel picked up the apple. Daniel moved to the bathroom. Daniel journeyed to the garden. Where was the apple before the garden?,bathroom,a)office b)bathroom c)hallway d)kitchen,b
Mary grabbed the apple. Mary travelled to the bathroom. Mary went to the hallway. Mary went back to the office. Mary dropped the apple. Where was the apple before the hallway?,bathroom,a)bathroom b)office c)hallway d)kitchen,a
Sandra got the football. Daniel travelled to the kitchen. Sandra moved to the hallway. Sandra went to the kitchen. Sandra discarded the football. Where was the football before the kitchen?,hallway,a)office b)bathroom c)hallway d)kitchen,c
John went back to the bathroom. Daniel journeyed to the hallway. Mary journeyed to the bedroom. Mary journeyed to the kitchen. Mary left the milk. Where was the milk before the kitchen?,bedroom,a)bathroom b)kitchen c)hallway d)office,e
Mary discarded the milk. Mary travelled to the bathroom. Daniel moved to the office. Daniel travelled to the hallway. Daniel discarded the football. Where was the football before the hallway?,office,a)garden b)kitchen c)bathroom d)hallway,e
Sandra moved to the kitchen. Daniel travelled to the bedroom. Sandra moved to the bathroom. Sandra journeyed to the garden. Sandra dropped the football. Where was the football before the garden?,bathroom,a)bathroom b)office c)hallway d)kitchen,a
Daniel grabbed the apple there. Mary got the football. Daniel took the apple there. Daniel went back to the kitchen. Daniel journeyed to the hallway. Where was the apple before the hallway?,kitchen,a)kitchen b)office c)hallway d)bedroom,a
John went back to the kitchen. Daniel went back to the office. Sandra journeyed to the kitchen. Sandra travelled to the garden. Sandra left the football there. Where was the football before the garden?,kitchen,a)bathroom b)bedroom c)hallway d)office,e
Sandra picked up the milk. John got the football. Daniel travelled to the garden. Daniel moved to the hallway. Daniel left the football. Where was the football before the hallway?,garden,a)office b)garden c)hallway d)kitchen,b
John went back to the hallway. Sandra went back to the office. Daniel moved to the garden. Daniel went back to the bathroom. Daniel put down the football there. Where was the football before the bathroom?,garden,a)office b)hallway c)kitchen d)garden,d
John picked up the apple. John dropped the apple. Sandra picked up the milk. Sandra went to the kitchen. Sandra went back to the garden. Where was the milk before the garden?,kitchen,a)office b)kitchen c)hallway d)bedroom,b
Sandra took the milk. Sandra discarded the milk. Sandra moved to the bathroom. Sandra travelled to the office. Sandra left the milk. Where was the milk before the office?,bathroom,a)office b)hallway c)bathroom d)kitchen,c
Sandra travelled to the kitchen. John went to the bedroom. John travelled to the bedroom. John went back to the kitchen. John discarded the football. Where was the football before the kitchen?,bedroom,a)office b)hallway c)bedroom d)kitchen,c
Mary moved to the garden. Sandra took the milk there. Mary travelled to the hallway. Mary journeyed to the bedroom. Mary discarded the apple. Where was the apple before the bedroom?,hallway,a)office b)bathroom c)hallway d)kitchen,c
Sandra went back to the bathroom. Sandra moved to the bathroom. Sandra went to the garden. Sandra went back to the bathroom. Sandra put down the apple. Where was the apple before the bathroom?,garden,a)office b)hallway c)kitchen d)garden,d
Daniel grabbed the milk. John discarded the apple. Daniel travelled to the kitchen. Daniel moved to the garden. Daniel dropped the milk. Where was the milk before the garden?,kitchen,a)kitchen b)office c)hallway d)bedroom,a
John journeyed to the garden. Daniel went back to the hallway. Mary grabbed the milk. Mary went back to the hallway. Mary went back to the bedroom. Where was the milk before the bedroom?,hallway,a)hallway b)office c)bathroom d)kitchen,a
John went to the garden. Mary journeyed to the kitchen. Mary went back to the office. Mary journeyed to the kitchen. Mary dropped the football. Where was the football before the kitchen?,office,a)hallway b)bathroom c)kitchen d)office,d
Sandra went back to the kitchen. John dropped the apple. Mary travelled to the bedroom. Mary went back to the office. Mary put down the milk. Where was the milk before the office?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
Mary got the football. Sandra travelled to the garden. Mary moved to the kitchen. Sandra journeyed to the hallway. Sandra dropped the milk there. Where was the milk before the hallway?,garden,a)office b)hallway c)kitchen d)garden,d
Mary journeyed to the kitchen. John discarded the milk. Mary picked up the milk. Mary went back to the garden. Mary went back to the bedroom. Where was the milk before the bedroom?,garden,a)office b)hallway c)kitchen d)garden,d
Daniel grabbed the football. John grabbed the football. Sandra took the football there. Sandra went back to the garden. Sandra went to the bathroom. Where was the football before the bathroom?,garden,a)office b)hallway c)garden d)kitchen,c
Sandra travelled to the bathroom. Daniel went to the kitchen. John journeyed to the office. John went back to the bathroom. John dropped the milk there. Where was the milk before the bathroom?,office,a)office b)hallway c)bathroom d)kitchen,a
Daniel went to the garden. Mary discarded the milk. Sandra picked up the apple. Sandra travelled to the kitchen. Sandra went back to the garden. Where was the apple before the garden?,kitchen,a)office b)kitchen c)hallway d)bedroom,b
Mary got the football there. Mary dropped the football. John went back to the bathroom. John went to the hallway. John left the milk. Where was the milk before the hallway?,bathroom,a)bathroom b)office c)hallway d)kitchen,a
Daniel travelled to the hallway. Sandra journeyed to the bathroom. Daniel travelled to the kitchen. Daniel journeyed to the office. Daniel left the milk there. Where was the milk before the office?,kitchen,a)office b)hallway c)kitchen d)bedroom,c
Sandra put down the football. Mary left the apple. Sandra grabbed the milk there. Sandra went back to the office. Sandra journeyed to the kitchen. Where was the milk before the kitchen?,office,a)hallway b)bathroom c)office d)kitchen,c
Mary went to the office. John went to the garden. Daniel journeyed to the garden. Daniel went back to the office. Daniel discarded the milk. Where was the milk before the office?,garden,a)office b)hallway c)kitchen d)garden,d
Sandra moved to the hallway. Daniel travelled to the hallway. Daniel journeyed to the office. Daniel went back to the garden. Daniel discarded the apple. Where was the apple before the garden?,office,a)garden b)kitchen c)bathroom d)hallway,e
John got the football. John picked up the apple. Mary went to the bathroom. Mary went to the office. Mary discarded the football there. Where was the football before the office?,bathroom,a)office b)bathroom c)hallway d)kitchen,b
Mary went back to the office. Sandra travelled to the garden. Sandra picked up the football. Sandra journeyed to the garden. Sandra journeyed to the kitchen. Where was the football before the kitchen?,garden,a)garden b)office c)hallway d)kitchen,a
Mary went back to the kitchen. Daniel left the milk. John went to the bedroom. John went back to the office. John dropped the football. Where was the football before the office?,bedroom,a)office b)bedroom c)hallway d)kitchen,b
