question,answer,option,gt_option
Mary dropped the football there. Daniel went back to the hallway. John grabbed the football there. John went back to the kitchen. John went back to the hallway. Where was the football before the hallway?,kitchen,a)beds b)livingroom c)bedroom d)office e)hallway f)baths g)table h)bathroom i)garden j)desk ,k
Sandra dropped the apple. Mary moved to the office. Sandra journeyed to the kitchen. Sandra journeyed to the office. Sandra dropped the apple. Where was the apple before the office?,kitchen,a)bedroom b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)garden i)kitchen j)desk ,i
John grabbed the football. Sandra moved to the bedroom. John went back to the garden. John moved to the bedroom. John left the football. Where was the football before the bedroom?,garden,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)garden h)livingroom i)bedroom j)desk ,g
Daniel journeyed to the garden. John got the milk. Mary journeyed to the garden. Mary travelled to the bathroom. Mary dropped the football. Where was the football before the bathroom?,garden,a)kitchen b)bathroom c)hallway d)office e)baths f)garden g)beds h)livingroom i)bedroom j)desk ,f
John went to the garden. Mary journeyed to the kitchen. Mary went back to the office. Mary journeyed to the kitchen. Mary dropped the football. Where was the football before the kitchen?,office,a)beds b)livingroom c)kitchen d)hallway e)bathroom f)baths g)table h)garden i)bedroom j)desk ,k
Mary left the milk. Sandra journeyed to the office. John went to the bathroom. John went back to the hallway. John put down the apple. Where was the apple before the hallway?,bathroom,a)kitchen b)garden c)hallway d)office e)baths f)beds g)livingroom h)bathroom i)bedroom j)desk ,h
Daniel moved to the bathroom. Mary travelled to the garden. Sandra grabbed the apple. Sandra journeyed to the bedroom. Sandra moved to the kitchen. Where was the apple before the kitchen?,bedroom,a)beds b)livingroom c)kitchen d)office e)hallway f)baths g)table h)bathroom i)garden j)desk ,k
Daniel took the football. Mary dropped the milk. Sandra went back to the kitchen. Sandra went back to the garden. Sandra left the apple. Where was the apple before the garden?,kitchen,a)bedroom b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)garden i)desk j)kitchen ,j
John grabbed the apple. John left the apple. John went to the bedroom. John moved to the hallway. John discarded the milk. Where was the milk before the hallway?,bedroom,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)bedroom i)garden j)desk ,h
John travelled to the hallway. John dropped the apple. John went back to the bedroom. John went back to the bathroom. John left the apple. Where was the apple before the bathroom?,bedroom,a)kitchen b)bathroom c)hallway d)office e)baths f)bedroom g)beds h)livingroom i)garden j)desk ,f
Daniel went back to the hallway. John grabbed the apple. Mary grabbed the milk there. Mary went back to the garden. Mary went to the hallway. Where was the milk before the hallway?,garden,a)kitchen b)bathroom c)hallway d)office e)garden f)baths g)beds h)livingroom i)bedroom j)desk ,e
John moved to the kitchen. John dropped the football. Mary went to the garden. Mary went back to the kitchen. Mary left the apple. Where was the apple before the kitchen?,garden,a)kitchen b)bathroom c)hallway d)garden e)office f)baths g)beds h)livingroom i)bedroom j)desk ,d
John went back to the garden. Daniel went to the garden. Mary went to the garden. Mary went to the kitchen. Mary discarded the football. Where was the football before the kitchen?,garden,a)kitchen b)bathroom c)garden d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,c
Sandra went back to the office. Daniel moved to the bathroom. Sandra journeyed to the garden. Sandra journeyed to the kitchen. Sandra left the apple. Where was the apple before the kitchen?,garden,a)beds b)livingroom c)kitchen d)office e)hallway f)baths g)table h)bathroom i)bedroom j)desk ,k
Sandra left the football. Daniel discarded the apple. Daniel travelled to the bathroom. Daniel moved to the hallway. Daniel put down the milk. Where was the milk before the hallway?,bathroom,a)kitchen b)garden c)hallway d)bathroom e)office f)baths g)beds h)livingroom i)bedroom j)desk ,d
Daniel got the milk. Sandra dropped the football. Daniel moved to the garden. Daniel went back to the hallway. Daniel dropped the football. Where was the football before the hallway?,garden,a)beds b)livingroom c)kitchen d)office e)hallway f)baths g)table h)bathroom i)bedroom j)desk ,k
Sandra went to the garden. Sandra got the football. Sandra went to the office. Sandra went to the hallway. Sandra left the football. Where was the football before the hallway?,office,a)kitchen b)office c)garden d)bathroom e)hallway f)baths g)beds h)livingroom i)bedroom j)desk ,b
Sandra travelled to the bathroom. Mary grabbed the apple. John went back to the garden. John moved to the kitchen. John put down the apple. Where was the apple before the kitchen?,garden,a)beds b)livingroom c)kitchen d)office e)hallway f)baths g)table h)bathroom i)bedroom j)desk ,k
Sandra travelled to the garden. Daniel went to the office. Mary went to the office. Mary went back to the bathroom. Mary discarded the apple. Where was the apple before the bathroom?,office,a)kitchen b)garden c)bathroom d)hallway e)baths f)beds g)livingroom h)bedroom i)desk j)office ,j
John got the apple. Sandra moved to the bedroom. Daniel grabbed the milk. Daniel journeyed to the office. Daniel went back to the hallway. Where was the milk before the hallway?,office,a)kitchen b)garden c)bathroom d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,e
Daniel travelled to the office. Daniel went back to the bathroom. Sandra grabbed the football. Sandra moved to the hallway. Sandra travelled to the garden. Where was the football before the garden?,hallway,a)kitchen b)garden c)bathroom d)office e)baths f)beds g)livingroom h)bedroom i)hallway j)desk ,i
Mary got the football. Mary travelled to the kitchen. John went to the garden. Mary journeyed to the bedroom. Mary left the football there. Where was the football before the bedroom?,kitchen,a)bedroom b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)kitchen i)garden j)desk ,h
Sandra went back to the kitchen. John dropped the apple. Mary travelled to the bedroom. Mary went back to the office. Mary put down the milk. Where was the milk before the office?,bedroom,a)kitchen b)bathroom c)hallway d)office e)baths f)bedroom g)beds h)livingroom i)garden j)desk ,f
Mary went back to the hallway. Mary moved to the bedroom. Mary travelled to the bathroom. Mary moved to the hallway. Mary discarded the football. Where was the football before the hallway?,bathroom,a)kitchen b)garden c)hallway d)office e)baths f)beds g)livingroom h)bathroom i)bedroom j)desk ,h
Mary travelled to the garden. Daniel took the football. Daniel journeyed to the hallway. John went to the bathroom. Daniel travelled to the bathroom. Where was the football before the bathroom?,hallway,a)kitchen b)garden c)bathroom d)office e)hallway f)baths g)beds h)livingroom i)bedroom j)desk ,e
Mary journeyed to the hallway. Mary got the milk. John went to the kitchen. John went to the office. John dropped the milk. Where was the milk before the office?,kitchen,a)bedroom b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)garden i)desk j)kitchen ,j
Mary moved to the bathroom. Sandra dropped the football. John moved to the kitchen. John went to the bathroom. John put down the milk. Where was the milk before the bathroom?,kitchen,a)bedroom b)kitchen c)bathroom d)hallway e)office f)baths g)beds h)livingroom i)garden j)desk ,b
Daniel took the football. Daniel discarded the milk. John went back to the office. John travelled to the garden. John put down the milk. Where was the milk before the garden?,office,a)kitchen b)office c)garden d)bathroom e)hallway f)baths g)beds h)livingroom i)bedroom j)desk ,b
Mary left the football. John travelled to the office. Mary moved to the bedroom. Mary travelled to the bathroom. Mary left the football. Where was the football before the bathroom?,bedroom,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)garden i)bedroom j)desk ,i
Mary discarded the football. Sandra grabbed the milk. Sandra went to the bathroom. Sandra went to the hallway. Sandra left the milk there. Where was the milk before the hallway?,bathroom,a)kitchen b)garden c)hallway d)office e)baths f)beds g)bathroom h)livingroom i)bedroom j)desk ,g
Sandra went back to the office. Mary left the football there. John travelled to the bathroom. John went back to the bedroom. John left the milk. Where was the milk before the bedroom?,bathroom,a)kitchen b)garden c)bathroom d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,c
Daniel went to the garden. Mary went back to the garden. Mary got the football. Mary travelled to the garden. Mary went to the bedroom. Where was the football before the bedroom?,garden,a)kitchen b)bathroom c)hallway d)office e)baths f)garden g)beds h)livingroom i)bedroom j)desk ,f
John went back to the hallway. Daniel dropped the apple. Sandra went to the kitchen. Sandra travelled to the garden. Sandra put down the football. Where was the football before the garden?,kitchen,a)beds b)livingroom c)bedroom d)office e)hallway f)baths g)table h)bathroom i)garden j)desk ,k
Daniel journeyed to the garden. John got the milk. Mary journeyed to the garden. Mary travelled to the bathroom. Mary dropped the football. Where was the football before the bathroom?,garden,a)kitchen b)bathroom c)garden d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,c
Mary journeyed to the garden. Daniel grabbed the apple. Mary travelled to the kitchen. Mary went back to the hallway. Mary discarded the football there. Where was the football before the hallway?,kitchen,a)bedroom b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)kitchen i)garden j)desk ,h
Sandra travelled to the kitchen. John went to the bedroom. John travelled to the bathroom. John journeyed to the hallway. John discarded the football. Where was the football before the hallway?,bathroom,a)kitchen b)garden c)hallway d)office e)baths f)beds g)bathroom h)livingroom i)bedroom j)desk ,g
Sandra went back to the kitchen. Daniel journeyed to the bathroom. John travelled to the bathroom. John moved to the kitchen. John put down the milk. Where was the milk before the kitchen?,bathroom,a)bathroom b)kitchen c)garden d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,a
Mary went back to the kitchen. John went to the bedroom. John went to the bathroom. John went back to the hallway. John put down the football there. Where was the football before the hallway?,bathroom,a)kitchen b)bathroom c)garden d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,b
Mary journeyed to the garden. John moved to the hallway. Daniel moved to the garden. Daniel moved to the kitchen. Daniel left the football there. Where was the football before the kitchen?,garden,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)bedroom i)garden j)desk ,i
Daniel took the football there. Daniel dropped the football. John journeyed to the bedroom. John travelled to the kitchen. John dropped the apple. Where was the apple before the kitchen?,bedroom,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)garden i)desk j)bedroom ,j
John grabbed the apple. Daniel grabbed the apple. John went to the kitchen. John went back to the garden. John discarded the apple. Where was the apple before the garden?,kitchen,a)bedroom b)bathroom c)hallway d)office e)baths f)kitchen g)beds h)livingroom i)garden j)desk ,f
Daniel journeyed to the bedroom. Mary got the milk there. Sandra moved to the bedroom. Sandra went back to the office. Sandra left the milk. Where was the milk before the office?,bedroom,a)kitchen b)bathroom c)hallway d)office e)baths f)bedroom g)beds h)livingroom i)garden j)desk ,f
Daniel dropped the apple there. Daniel went back to the bathroom. Daniel got the apple. Daniel went back to the kitchen. Daniel moved to the bathroom. Where was the apple before the bathroom?,kitchen,a)bedroom b)bathroom c)hallway d)office e)baths f)kitchen g)beds h)livingroom i)garden j)desk ,f
John discarded the milk. Mary travelled to the bedroom. Sandra picked up the football there. Sandra journeyed to the bedroom. Sandra went to the bathroom. Where was the football before the bathroom?,bedroom,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)garden i)desk j)bedroom ,j
Mary went back to the office. Mary went to the hallway. John journeyed to the office. John went to the bedroom. John put down the apple there. Where was the apple before the bedroom?,office,a)kitchen b)garden c)bathroom d)hallway e)baths f)beds g)livingroom h)office i)bedroom j)desk ,h
Mary travelled to the bedroom. Daniel picked up the football there. Sandra travelled to the bathroom. Sandra moved to the hallway. Sandra left the milk there. Where was the milk before the hallway?,bathroom,a)kitchen b)garden c)hallway d)office e)baths f)beds g)livingroom h)bedroom i)desk j)bathroom ,j
Daniel travelled to the bathroom. Mary journeyed to the bedroom. John picked up the football. John moved to the bedroom. John travelled to the hallway. Where was the football before the hallway?,bedroom,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)bedroom i)garden j)desk ,h
Mary picked up the football. Sandra journeyed to the kitchen. Daniel journeyed to the hallway. Daniel journeyed to the bathroom. Daniel put down the apple. Where was the apple before the bathroom?,hallway,a)kitchen b)hallway c)garden d)bathroom e)office f)baths g)beds h)livingroom i)bedroom j)desk ,b
John picked up the apple. John went to the bedroom. Daniel travelled to the hallway. Daniel travelled to the bathroom. Daniel dropped the football. Where was the football before the bathroom?,hallway,a)kitchen b)hallway c)garden d)bathroom e)office f)baths g)beds h)livingroom i)bedroom j)desk ,b
Sandra went to the garden. John went to the garden. Mary travelled to the garden. Mary went back to the hallway. Mary put down the football. Where was the football before the hallway?,garden,a)kitchen b)bathroom c)hallway d)office e)garden f)baths g)beds h)livingroom i)bedroom j)desk ,e
Daniel put down the apple. John picked up the milk there. Sandra travelled to the kitchen. Sandra moved to the garden. Sandra put down the apple. Where was the apple before the garden?,kitchen,a)bedroom b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)kitchen i)garden j)desk ,h
Daniel journeyed to the kitchen. Daniel left the apple. Sandra went back to the garden. Sandra travelled to the bathroom. Sandra discarded the apple. Where was the apple before the bathroom?,garden,a)kitchen b)garden c)bathroom d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,b
Sandra went back to the bathroom. Sandra moved to the bathroom. Sandra grabbed the football. Sandra went to the garden. Sandra went back to the bathroom. Where was the football before the bathroom?,garden,a)garden b)kitchen c)bathroom d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,a
Sandra grabbed the milk. Sandra discarded the milk. John travelled to the garden. John travelled to the kitchen. John put down the apple. Where was the apple before the kitchen?,garden,a)kitchen b)bathroom c)hallway d)office e)garden f)baths g)beds h)livingroom i)bedroom j)desk ,e
Mary moved to the hallway. John took the milk. Mary journeyed to the kitchen. Mary moved to the garden. Mary discarded the milk. Where was the milk before the garden?,kitchen,a)bedroom b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)garden i)desk j)kitchen ,j
Mary dropped the milk. Mary picked up the milk. Mary went to the bathroom. Mary went back to the hallway. Mary put down the apple. Where was the apple before the hallway?,bathroom,a)kitchen b)garden c)hallway d)office e)baths f)beds g)livingroom h)bathroom i)bedroom j)desk ,h
Daniel left the football. Daniel went to the hallway. Mary moved to the bathroom. Mary went back to the garden. Mary discarded the football. Where was the football before the garden?,bathroom,a)kitchen b)garden c)hallway d)office e)bathroom f)baths g)beds h)livingroom i)bedroom j)desk ,e
John picked up the apple. John went to the bedroom. Daniel travelled to the hallway. Daniel travelled to the bathroom. Daniel dropped the football. Where was the football before the bathroom?,hallway,a)kitchen b)garden c)bathroom d)office e)baths f)beds g)hallway h)livingroom i)bedroom j)desk ,g
John travelled to the office. Sandra travelled to the bedroom. Sandra went back to the garden. Sandra went to the kitchen. Sandra put down the football there. Where was the football before the kitchen?,garden,a)kitchen b)bathroom c)hallway d)office e)baths f)garden g)beds h)livingroom i)bedroom j)desk ,f
Mary journeyed to the garden. John moved to the hallway. Daniel moved to the office. Daniel moved to the garden. Daniel left the football there. Where was the football before the garden?,office,a)office b)kitchen c)garden d)bathroom e)hallway f)baths g)beds h)livingroom i)bedroom j)desk ,a
Mary discarded the milk. John moved to the kitchen. John journeyed to the garden. John journeyed to the hallway. John discarded the milk there. Where was the milk before the hallway?,garden,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)garden i)bedroom j)desk ,h
Sandra travelled to the office. Mary journeyed to the office. John journeyed to the bathroom. John moved to the garden. John left the football. Where was the football before the garden?,bathroom,a)kitchen b)garden c)hallway d)office e)baths f)bathroom g)beds h)livingroom i)bedroom j)desk ,f
Sandra went back to the hallway. Sandra picked up the milk there. Sandra went back to the garden. Sandra journeyed to the office. Sandra dropped the milk. Where was the milk before the office?,garden,a)kitchen b)bathroom c)garden d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,c
Mary journeyed to the kitchen. John discarded the milk. Mary went back to the garden. Mary went back to the bedroom. Mary dropped the milk. Where was the milk before the bedroom?,garden,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)bedroom i)desk j)garden ,j
Daniel took the football. Sandra journeyed to the kitchen. John went back to the bedroom. John went back to the hallway. John dropped the football. Where was the football before the hallway?,bedroom,a)kitchen b)bedroom c)bathroom d)hallway e)office f)baths g)beds h)livingroom i)garden j)desk ,b
John left the apple. Sandra journeyed to the kitchen. John went back to the bathroom. John travelled to the garden. John dropped the football. Where was the football before the garden?,bathroom,a)kitchen b)garden c)hallway d)office e)baths f)beds g)livingroom h)bathroom i)bedroom j)desk ,h
John left the football. Sandra grabbed the apple. Mary travelled to the hallway. Mary went back to the bedroom. Mary dropped the milk. Where was the milk before the bedroom?,hallway,a)hallway b)kitchen c)garden d)bathroom e)office f)baths g)beds h)livingroom i)bedroom j)desk ,a
Mary moved to the bathroom. Sandra dropped the football. John moved to the kitchen. John went to the bathroom. John put down the milk. Where was the milk before the bathroom?,kitchen,a)bedroom b)bathroom c)hallway d)kitchen e)office f)baths g)beds h)livingroom i)garden j)desk ,d
Sandra went to the garden. Mary discarded the football. John went back to the bedroom. John journeyed to the bathroom. John discarded the apple. Where was the apple before the bathroom?,bedroom,a)kitchen b)bathroom c)hallway d)office e)bedroom f)baths g)beds h)livingroom i)garden j)desk ,e
Daniel went back to the bedroom. Mary moved to the kitchen. Sandra went to the office. Sandra went to the kitchen. Sandra left the football. Where was the football before the kitchen?,office,a)kitchen b)garden c)office d)bathroom e)hallway f)baths g)beds h)livingroom i)bedroom j)desk ,c
Sandra went to the office. Mary went to the bedroom. Mary travelled to the kitchen. Mary went back to the garden. Mary dropped the milk. Where was the milk before the garden?,kitchen,a)bedroom b)bathroom c)hallway d)kitchen e)office f)baths g)beds h)livingroom i)garden j)desk ,d
Mary went to the garden. John put down the football. Daniel went back to the kitchen. Daniel journeyed to the garden. Daniel discarded the milk. Where was the milk before the garden?,kitchen,a)bedroom b)bathroom c)hallway d)office e)baths f)beds g)kitchen h)livingroom i)garden j)desk ,g
Sandra travelled to the office. Mary journeyed to the office. John went back to the garden. John travelled to the office. John put down the apple. Where was the apple before the office?,garden,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)garden h)livingroom i)bedroom j)desk ,g
Mary went back to the office. John went back to the hallway. Sandra travelled to the bathroom. Sandra travelled to the office. Sandra put down the apple there. Where was the apple before the office?,bathroom,a)kitchen b)garden c)hallway d)office e)baths f)beds g)livingroom h)bathroom i)bedroom j)desk ,h
Mary put down the apple. Sandra picked up the apple there. John journeyed to the bathroom. John moved to the bedroom. John left the milk. Where was the milk before the bedroom?,bathroom,a)kitchen b)bathroom c)garden d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,b
Mary went to the bathroom. John moved to the bedroom. Mary went to the kitchen. Mary journeyed to the garden. Mary put down the milk there. Where was the milk before the garden?,kitchen,a)bedroom b)bathroom c)kitchen d)hallway e)office f)baths g)beds h)livingroom i)garden j)desk ,c
Daniel went to the kitchen. John moved to the garden. Daniel travelled to the garden. Daniel went back to the hallway. Daniel left the football there. Where was the football before the hallway?,garden,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)garden i)bedroom j)desk ,h
Sandra picked up the milk. John grabbed the milk. Mary travelled to the office. Mary went to the hallway. Mary dropped the football. Where was the football before the hallway?,office,a)kitchen b)garden c)bathroom d)hallway e)baths f)beds g)office h)livingroom i)bedroom j)desk ,g
Daniel moved to the bedroom. Sandra went to the office. Daniel moved to the office. Daniel journeyed to the bathroom. Daniel put down the apple. Where was the apple before the bathroom?,office,a)beds b)livingroom c)kitchen d)hallway e)bathroom f)baths g)table h)garden i)bedroom j)desk ,k
Daniel moved to the office. Daniel moved to the garden. Daniel picked up the football. Daniel went back to the hallway. Daniel journeyed to the bedroom. Where was the football before the bedroom?,hallway,a)kitchen b)garden c)bathroom d)office e)baths f)beds g)livingroom h)bedroom i)hallway j)desk ,i
Daniel went back to the hallway. John grabbed the apple. Mary went back to the garden. Mary went to the hallway. Mary left the milk. Where was the milk before the hallway?,garden,a)kitchen b)bathroom c)hallway d)office e)garden f)baths g)beds h)livingroom i)bedroom j)desk ,e
Daniel left the football. Daniel went to the hallway. Mary moved to the bathroom. Mary went back to the garden. Mary discarded the football. Where was the football before the garden?,bathroom,a)kitchen b)garden c)bathroom d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,c
Daniel moved to the bedroom. John went back to the bedroom. John went to the garden. Mary moved to the office. John dropped the apple. Where was the apple before the garden?,bedroom,a)baths b)livingroom c)hallway d)office e)bathroom f)beds g)bedroom h)table i)kitchen j)desk ,g
Mary got the football. Mary travelled to the kitchen. John went to the garden. Mary journeyed to the bedroom. Mary left the football there. Where was the football before the bedroom?,kitchen,a)beds b)livingroom c)bedroom d)office e)hallway f)baths g)table h)bathroom i)garden j)desk ,k
